Employer Name,career_portal,Sponsor Status,OPT-Friendly Hiring Score (0-100),Top State,link_data_source,career_portal_verified_at
GOOGLE LLC,https://sites.google.com/careers,Strong Active Sponsor,67.12,CA,web,2026-06-29T08:27:10.132566+00:00
AMERICAN AIRLINES INC,https://www.american-airlines.com/careers,Strong Active Sponsor,43.56,TX,web,2026-06-29T08:27:27.554042+00:00
PERSISTENT SYSTEMS LIMITED DBA PERSISTENT SYSTEMS LIMITED USA BRANCH,https://persistent.com/careers,Strong Active Sponsor,43.32,CA,web,2026-06-29T08:27:29.255776+00:00
JOHNSTON COUNTY PUBLIC SCHOOLS,https://johnston.k12.nc.us/careers,Strong Active Sponsor,42.87,NC,web,2026-06-29T08:27:30.867339+00:00
OPENAI OPCO LLC,https://www.openai-opco.com/careers,Strong Active Sponsor,42.38,CA,web,2026-06-29T08:27:32.164635+00:00
TSMC ARIZONA CORPORATION,https://www.tsmc.com/static/english/careers/index.htm,Strong Active Sponsor,41.17,AZ,web,2026-06-29T08:27:32.923831+00:00
VR IT RESOURCES LLC,https://www.vr-it-resources.com/careers,Strong Active Sponsor,40.18,TX,web,2026-06-29T08:27:36.069668+00:00
FEDERAL EXPRESS CORPORATION,https://www.federal-express.com/careers,Strong Active Sponsor,39.96,TN,web,2026-06-29T08:27:37.409536+00:00
"ADTRAN NETWORKS NORTH AMERICA, INC.",https://adtran-networks.com/careers,Strong Active Sponsor,39.6,IL,web,2026-06-29T08:28:30.080575+00:00
CARDIO HEALTH SOLUTIONS LLC,https://careers.albertahealthservices.ca/user/settings,Strong Active Sponsor,39.1,GA,web,2026-06-29T08:28:31.101503+00:00
IMC AMERICAS INC,https://www.imc-americas.com/careers,Strong Active Sponsor,38.38,IL,web,2026-06-29T08:28:41.781505+00:00
THE OPTIONS CLEARING CORPORATION,https://www.the-options-clearing.com/careers,Strong Active Sponsor,37.81,IL,web,2026-06-29T08:28:46.824463+00:00
CHAI RESEARCH CORP,https://chai-research.com/careers,Strong Active Sponsor,37.81,CA,web,2026-06-29T08:28:47.654775+00:00
PENTANGLE TECH SERVICES LLC,https://pentangletech.com/careers,Strong Active Sponsor,37.52,MI,web,2026-06-29T08:28:50.318533+00:00
DFS SERVICES LLC,https://www.dfs-services.com/careers,Strong Active Sponsor,37.33,CA,web,2026-06-29T08:28:51.816039+00:00
X AI LLC,https://www.x-ai.com/careers,Strong Active Sponsor,37.28,CA,web,2026-06-29T08:28:55.004040+00:00
AMERICA GOLDEN JUBILEE LLC,https://goldenstatemint.com/careers,Strong Active Sponsor,37.16,TX,web,2026-06-29T08:28:57.402122+00:00
ATLANTIS INTELLIGENCE US INC.,https://atlantisintel.com/careers,Strong Active Sponsor,37.05,TX,web,2026-06-29T08:29:00.126991+00:00
CALIFORNIA DEPARTMENT OF TRANSPORTATION,https://www.california-department-of-transportation.com/careers,Strong Active Sponsor,35.47,CA,web,2026-06-29T08:29:02.303294+00:00
"BARTOS ARCHITECTURE, INC.",https://mail.bartosarchitecture.com/careers.html,Strong Active Sponsor,35.38,CA,web,2026-06-29T08:29:05.294152+00:00
APPLICATION RESEARCH CENTER LLC,https://www.application-research-center.com/careers,Strong Active Sponsor,35.21,VA,web,2026-06-29T08:29:06.621103+00:00
COBANK ACB,https://www.cobank-acb.com/careers,Strong Active Sponsor,34.62,TX,web,2026-06-29T08:29:08.804533+00:00
CONCENTRIX CVG CUSTOMER MANAGEMENT GROUP INC.,https://jobs.concentrix.com/united-states/,Strong Active Sponsor,34.49,OR,web,2026-06-29T08:29:11.541184+00:00
DATICS INC,https://datics.no/careers,Strong Active Sponsor,33.85,IL,web,2026-06-29T08:29:20.542434+00:00
CORE TECH CONSTRUCTION CORPORATION,https://www.core-tech-construction.com/careers,Strong Active Sponsor,33.52,GU,web,2026-06-29T08:29:21.978859+00:00
W M RICE UNIVERSITY,https://rice.edu/careers,Strong Active Sponsor,33.28,TX,web,2026-06-29T08:37:07.067836+00:00
UNIVERSITY OF SOUTH FLORIDA,https://www.university-of-south-florida.com/careers,Strong Active Sponsor,33.27,FL,web,2026-06-29T08:37:08.254885+00:00
"INVAGEN PHARMACEUTICALS, INC.",https://www.invagen-pharmaceuticals.com/careers,Strong Active Sponsor,33.19,NY,web,2026-06-29T08:37:11.096741+00:00
